acc_x_mean,acc_x_std,acc_x_absint,acc_y_mean,acc_y_std,acc_y_absint,acc_z_mean,acc_z_std,acc_z_absint,acc_sum_mean,acc_sum_std,acc_sum_absint,bvp_features_mean,bvp_features_std,eda_features_mean,eda_features_std,eda_features_min,eda_features_max,eda_features_dynamic_range,eda_scl_features_mean,eda_scl_features_std,eda_scr_features_mean,eda_scr_features_std,eda_scr_features_no_pks,eda_scr_features_no_strong_peaks,hr_features_mean,hr_features_std,hrv_features_resampled_HRV_freq,hrv_features_resampled_HRV_vlf,hrv_features_resampled_HRV_lf,hrv_features_resampled_HRV_hf,hrv_features_resampled_HRV_ratio,hrv_features_resampled_HRV_hf_norm,hrv_features_resampled_HRV_lf_norm,temp_features_mean,temp_features_std,temp_features_min,temp_features_max,temp_features_dynamic_range,stress,time
-17.628125,0.996462198091679,5623.5,13.778125,0.606254948594999,4395.5,59.01875,0.633167634926562,18827,90.425,1.33461276127967,28846,0,0,2.7045199,0.00864439184674082,2.685585,2.721408,1.01333899318026,2.69619548445684,0.0117301061307967,0.00832441554316131,0.00731844445700169,0,0,89.0406709462369,2.31067279188189,1.20947185537073,0,0,0.826473071503336,0,68.3333860009501,0,33.7425,0.00980580675691073,33.73,33.75,1.0005929439668,0,11-Aug-2017 07:19:37.000000
-17.575,0.495117224332502,5606.5,13.896875,0.304598378875845,4433.5,59.0125,0.11127643569537,18825,90.484375,0.530930085308691,28865,0,0,2.619119475,0.0286302745367669,2.574276,2.675349,1.03926268978152,2.62031709663462,0.0306616892818342,-0.00119762163461525,0.0111218232006673,0,0,103.305214499963,3.46352389098435,54.9204480889043,0,0,36.3015643438238,0,66.0984489512165,0,33.69825,0.018658537607246,33.68,33.73,1.00148456057007,0,11-Aug-2017 07:19:47.000000
-21.134375,10.0748331465605,6731,12.140625,5.95823285824777,4258,52.90625,22.7215106331983,18171.5,91.40625,5.3054616384903,29160.5,0,0,2.501350175,0.0422745545239611,2.418189,2.575556,1.0650763856754,2.50432847932692,0.034912292242047,-0.00297830432692268,0.00943543524075504,0,0,99.726786014345,2.02266164466127,8.4012113270438,0,0,5.5856487049922,0,66.4862302298217,0,33.687,0.0163613051952569,33.66,33.71,1.00148544266191,0,11-Aug-2017 07:19:57.000000
-42.315625,7.14189412171366,13491.5,4.7,4.75585763224488,1602.5,-10.546875,47.0735866568151,15139,94.79375,7.18287485778296,30233,0,0,2.43056705,0.0330345874966581,2.35166,2.491115,1.05930066421166,2.43771510384615,0.0023580341554412,-0.00714805384615362,0.0337735020962395,1,0,108.869429419652,10.6768791984767,0.0928670507953944,0,0,0.0426892426047183,0,45.9681256582291,0,33.69025,0.0203164074151035,33.66,33.71,1.00148544266191,0,11-Aug-2017 07:20:07.000000
-40.6125,0.98571298766116,12954.5,2.796875,1.01986057655509,896.5,-50.665625,0.798159864487683,16161.5,94.0875,1.86163207460315,30012.5,0,0,2.415693925,0.0314817598947574,2.364454,2.483438,1.05032197708224,2.42199500336538,0.00645129901479849,-0.00630107836538504,0.0259735455898411,1,0,90.8750464426895,4.73468348843106,7.96847665548028,0,0,6.10681805490407,0,76.6372083264388,0,33.71275,0.0178293189826357,33.68,33.73,1.00148456057007,0,11-Aug-2017 07:20:17.000000
-38.8875,11.6935732422735,12423.5,41.7,18.0838520600328,13312.5,17.8125,19.0494119080849,7004,102.65,14.4892999110456,32740,0,0,2.5204773,0.111011005746878,2.370851,2.780261,1.17268482920268,2.51635061826923,0.0590266109177104,0.00412668173076958,0.060639833613879,3,0,82.9478532519821,7.80075404134156,10.045968408308,0,0,6.67338708896518,0,66.4285096043735,0,33.69725,0.0150192184575943,33.68,33.71,1.00089073634204,0,11-Aug-2017 07:20:27.000000
-57.715625,9.56009238340879,18427,26.25,9.7768198764502,8357.5,-3.321875,7.87357926180015,2006,90.275,8.08066697020645,28790.5,0,0,2.619855225,0.0356621765557245,2.572997,2.684305,1.04326005821227,2.61108881730769,0.016500890201033,0.00876640769230803,0.0269568205685693,2,0,61.6919416370526,11.6747234173695,38.5072881396706,0,0,25.5699132742104,0,66.4027889511855,0,33.704,0.0231826637260667,33.68,33.75,1.0020783847981,0,11-Aug-2017 07:20:37.000000
-34.06875,13.8489938862519,10861,49.49375,12.7094351321886,15797,11.090625,11.0918609312637,4793,98.578125,5.49381152983899,31451,0.536046875,8.30172945183008,2.538197025,0.0227842081337361,2.497512,2.572997,1.03022407900342,2.53743618413462,0.021914167232776,0.000760840865384382,0.00900022300880154,0,0,92.0967487645127,8.28094513930679,22.8795254206765,0,0,15.2436794956082,0,66.6258552803385,0,33.718,0.0099227787671347,33.71,33.73,1.00059329575794,0,11-Aug-2017 07:20:47.000000
-25.415625,1.75785017157473,8110,56.534375,2.42997340891317,18037,17.4625,2.04919894127936,5573,99.4125,4.3461329332355,31720,-1.568671875,17.7938525356703,2.4520611,0.0273743906250405,2.398998,2.497512,1.04106464448907,2.47606391922682,0.00823813804407299,-0.0177710901294836,0.0234446288969498,0,0,101.004873797574,1.51827913357614,2.78042125169678,0,0,1.98289138981903,0,71.316221907344,0,33.724,0.0129693919751505,33.71,33.75,1.00118659151587,0,11-Aug-2017 07:20:57.000000
-25.5875,1.77367549593782,8163,56.15,2.3117527175196,17915.5,18.40625,3.22275778047292,5874.5,100.14375,5.14046809402658,31953,0.78315625,12.2384054179577,2.347629625,0.026554924524404,2.290248,2.402836,1.04915974165243,2.40084344412062,0.0376546665886872,0.014746035504527,0.0836539556878002,5,0,89.8206804058173,3.11073747555128,16.6822245055613,0,0,11.1543230874457,0,66.8635234091667,0,33.741,0.0142864468676651,33.71,33.77,1.00177988727381,0,11-Aug-2017 07:21:07.000000
